scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.2,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0977948226270374,0.0,0.0,0.0,0.0036101083032490976,0.08371559633027523,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.50143815915628,0.004375,0.0,0.0,0.010830324909747292,0.19954128440366972,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.6433365292425696,0.04625,0.0,0.0,0.021660649819494584,0.26605504587155965,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.5992329817833174,0.14,0.0,0.0,0.021660649819494584,0.28211009174311924,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.4956855225311601,0.2,0.0,0.0,0.05054151624548736,0.18577981651376146,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3959731543624161,0.226875,0.0,0.0,0.039711191335740074,0.07339449541284404,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.35282837967401726,0.228125,0.0,0.0,0.02888086642599278,0.03096330275229358,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3326941514860978,0.23375,0.0,0.0,0.010830324909747292,0.016055045871559634,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3192713326941515,0.230625,0.0,0.0,0.0,0.009174311926605505,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.31639501438159157,0.22875,0.0,0.0,0.0,0.0045871559633027525,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.31351869606903165,0.226875,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.311601150527325,0.21875,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.31351869606903165,0.21,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.31255992329817833,0.195,0.0,0.0,0.0036101083032490976,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3144774688398849,0.178125,0.0,0.0,0.010830324909747292,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.31255992329817833,0.141875,0.0,0.0,0.01444043321299639,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3144774688398849,0.110625,0.0,0.0,0.0036101083032490976,0.0,
0.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.2,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.062320230105465,0.0,0.0,0.0,0.0,0.0779816513761468,
0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.45158197507190795,0.0025,0.0,0.0,0.02527075812274368,0.34288990825688076,
0.30000000000000004,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.6241610738255033,0.033125,0.0,0.0,0.1299638989169675,0.5538990825688074,
