scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.007670182166826462,0.0,0.0,0.0,0.0,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.07094918504314478,0.08,0.0,0.0,0.0,0.0,0.6778939734247255
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.003835091083413231,0.0,0.0,0.0,0.0,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.061361457334611694,0.085,0.0,0.0,0.10108303249097472,0.0,0.5548898455356436
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.07766059443911794,0.015,0.0,0.0,0.01444043321299639,0.0,0.32248634060810305
0.0,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.00125,0.0,0.0,0.0,0.006880733944954129,
0.0,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.2348993288590604,0.00125,0.0,0.0,0.06498194945848375,0.6353211009174312,
1.0,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.3537871524448706,0.47125,0.0,0.0,0.5090252707581228,0.8795871559633027,
0.0,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.18120805369127516,0.000625,0.0,0.0,0.1588447653429603,0.45298165137614677,
1.0,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.4554170661553212,0.43875,0.0,0.0,0.516245487364621,0.8509174311926605,
0.0,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.020134228187919462,0.0,0.0,0.0,0.0036101083032490976,0.15711009174311927,
1.0,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.5369127516778524,0.231875,0.0,0.0,0.48014440433212996,0.8451834862385321,
0.0,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.013422818791946308,0.0,0.0,0.0,0.07942238267148015,0.0,
