scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0019175455417066154,0.0,0.0,0.0,0.0,0.08830275229357798,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.32981783317353786,0.026875,0.0,0.0,0.0,0.7339449541284404,0.14079176330052826
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.011467889908256881,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.08149568552253116,0.0,0.0,0.0,0.0036101083032490976,0.5068807339449541,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.3221476510067114,0.31375,0.0,0.175,0.07942238267148015,0.8899082568807339,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.04410354745925216,0.0,0.0,0.0,0.007220216606498195,0.30504587155963303,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.37488015340364333,0.210625,0.0,0.038125,0.4007220216606498,0.8841743119266054,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.003835091083413231,0.0,0.0,0.0,0.0,0.0481651376146789,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.41418983700862894,0.036875,0.0,0.0,0.2996389891696751,0.8451834862385321,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
