scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.02588686481303931,0.0,0.0,0.0,0.032490974729241874,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.34995206136145734,0.00875,0.0,0.0,0.3574007220216607,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.02588686481303931,0.0,0.0,0.0,0.032490974729241874,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.34995206136145734,0.00875,0.0,0.0,0.3574007220216607,0.0,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.02588686481303931,0.0,0.0,0.0,0.032490974729241874,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.34995206136145734,0.00875,0.0,0.0,0.3574007220216607,0.0,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.003835091083413231,0.0,0.0,0.0,0.0,0.03784403669724771,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.5829338446788112,0.016875,0.0,0.0,0.0,0.5137614678899083,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.5378715244487057,0.213125,0.0,0.0,0.0,0.7534403669724771,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.18120805369127516,0.000625,0.0,0.0,0.0,0.2775229357798165,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.6279961649089166,0.045,0.0,0.0,0.0,0.6915137614678899,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.18120805369127516,0.000625,0.0,0.0,0.0,0.2775229357798165,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.6279961649089166,0.045,0.0,0.0,0.0,0.6915137614678899,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
