scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.35000000000000003,glue-cola,glue-mnli,glue-qqp,glue-rte,0.5215723873441994,0.228125,0.0,0.00125,0.34296028880866425,0.006880733944954129,
0.4,glue-cola,glue-mnli,glue-qqp,glue-rte,0.31351869606903165,0.34875,0.0,0.015625,0.4368231046931408,0.0,
0.45,glue-cola,glue-mnli,glue-qqp,glue-rte,0.28763183125599234,0.271875,0.0,0.015625,0.5054151624548736,0.0,
0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.25599232981783315,0.121875,0.0,0.0,0.4693140794223827,0.0,
0.55,glue-cola,glue-mnli,glue-qqp,glue-rte,0.18312559923298177,0.04375,0.0,0.0,0.4693140794223827,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-qqp,glue-rte,0.052732502396931925,0.008125,0.0,0.0,0.4729241877256318,0.0,
0.65,glue-cola,glue-mnli,glue-qqp,glue-rte,0.00862895493767977,0.000625,0.0,0.0,0.4620938628158845,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.23465703971119134,0.0,
0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.01444043321299639,0.0,
0.8,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.016055045871559634,
0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.06423777564717162,0.0,0.0,0.0,0.0,0.48853211009174313,
0.30000000000000004,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.32502396931927136,0.005625,0.0,0.0,0.0,0.8967889908256881,
0.35000000000000003,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.3288590604026846,0.141875,0.0,0.0,0.0,0.9094036697247706,
0.4,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.28954937679769893,0.25,0.0,0.0,0.0,0.8956422018348624,
0.45,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.23106423777564716,0.2825,0.0,0.0,0.0,0.8600917431192661,
0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.14956855225311602,0.295625,0.0,0.0,0.0,0.783256880733945,
0.55,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0862895493767977,0.303125,0.0,0.0,0.0,0.6513761467889908,
0.6000000000000001,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0488974113135187,0.305,0.0,0.0,0.0,0.4908256880733945,
0.65,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.04410354745925216,0.305,0.0,0.0,0.0,0.30504587155963303,
0.7000000000000001,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.053691275167785234,0.305625,0.0,0.0,0.0,0.16055045871559634,
0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.07094918504314478,0.30125,0.0,0.0,0.0,0.06995412844036697,
0.8,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.11409395973154363,0.275625,0.0,0.0,0.0,0.03784403669724771,
0.8500000000000001,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.14381591562799617,0.244375,0.0,0.0,0.0,0.04472477064220184,
0.9,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.17353787152444872,0.20625,0.0,0.0,0.0,0.06077981651376147,
0.9500000000000001,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.045062320230105465,0.05125,0.0,0.0,0.0,0.03096330275229358,
1.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.005625,0.0,0.0,0.0,0.0034403669724770644,
0.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.2339405560882071,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.41418983700862894,0.0425,0.0,0.0,0.05415162454873646,0.0011467889908256881,0.1690949167389031
0.4,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.17066155321188878,0.23,0.0,0.0,0.30685920577617326,0.0,0.4160548716421207
0.45,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.11888782358581017,0.45625,0.0,0.0,0.37906137184115524,0.0,0.5342872391420767
0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0987535953978907,0.45125,0.0,0.0,0.35018050541516244,0.0,0.5187111555955464
0.55,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0862895493767977,0.435,0.0,0.0,0.21660649819494585,0.0,0.4720462022210784
