scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.5,glue-cola,glue-mrpc,glue-qqp,0.33844678811121764,0.0,0.0,0.0,0.0,0.0022935779816513763,-0.0323030368810438
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,0.6778523489932886,0.0,0.0,0.181875,0.0,0.0034403669724770644,
0.0,0.75,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mrpc,glue-qqp,0.33844678811121764,0.0,0.0,0.0,0.0,0.0022935779816513763,-0.0323030368810438
1.0,0.75,glue-cola,glue-mrpc,glue-qqp,0.6778523489932886,0.0,0.0,0.181875,0.0,0.0034403669724770644,
0.0,1.0,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mrpc,glue-qqp,0.33844678811121764,0.0,0.0,0.0,0.0,0.0022935779816513763,-0.0323030368810438
1.0,1.0,glue-cola,glue-mrpc,glue-qqp,0.6778523489932886,0.0,0.0,0.181875,0.0,0.0034403669724770644,
0.0,0.25,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-rte,0.04697986577181208,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mrpc,glue-rte,0.6462128475551294,0.0,0.0,0.0,0.1444043321299639,0.0,
1.0,0.25,glue-cola,glue-mrpc,glue-rte,0.6874400767018217,0.0,0.0,0.0,0.3104693140794224,0.0,
0.0,0.5,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mrpc,glue-rte,0.3068072866730585,0.0,0.0,0.0,0.021660649819494584,0.0,-0.0323030368810438
1.0,0.5,glue-cola,glue-mrpc,glue-rte,0.6663470757430489,0.0,0.0,0.0,0.2815884476534296,0.0,
0.0,0.75,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mrpc,glue-rte,0.3068072866730585,0.0,0.0,0.0,0.021660649819494584,0.0,-0.0323030368810438
1.0,0.75,glue-cola,glue-mrpc,glue-rte,0.6663470757430489,0.0,0.0,0.0,0.2815884476534296,0.0,
0.0,1.0,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
