scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,0.25,glue-mnli,glue-qqp,0.0,0.330625,0.0,0.551875,0.0,0.0,
0.0,0.5,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-mnli,glue-qqp,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.5,glue-mnli,glue-qqp,0.0,0.0625,0.0,0.01125,0.0,0.0,
1.0,0.5,glue-mnli,glue-qqp,0.0,0.324375,0.0,0.45125,0.0,0.0,
0.0,0.75,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-mnli,glue-qqp,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.75,glue-mnli,glue-qqp,0.0,0.0625,0.0,0.01125,0.0,0.0,
1.0,0.75,glue-mnli,glue-qqp,0.0,0.324375,0.0,0.45125,0.0,0.0,
0.0,1.0,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-mnli,glue-qqp,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,1.0,glue-mnli,glue-qqp,0.0,0.0625,0.0,0.01125,0.0,0.0,
1.0,1.0,glue-mnli,glue-qqp,0.0,0.324375,0.0,0.45125,0.0,0.0,
0.0,0.25,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mnli,glue-rte,0.0,0.000625,0.0,0.0,0.10469314079422383,0.0,
0.75,0.25,glue-mnli,glue-rte,0.0,0.26,0.0,0.0,0.5270758122743683,0.0,
1.0,0.25,glue-mnli,glue-rte,0.0,0.44625,0.0,0.0,0.5703971119133574,0.0,
0.0,0.5,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.032490974729241874,0.0,
0.75,0.5,glue-mnli,glue-rte,0.0,0.174375,0.0,0.0,0.5126353790613718,0.0,
1.0,0.5,glue-mnli,glue-rte,0.0,0.405625,0.0,0.0,0.5703971119133574,0.0,
0.0,0.75,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.032490974729241874,0.0,
0.75,0.75,glue-mnli,glue-rte,0.0,0.174375,0.0,0.0,0.5126353790613718,0.0,
1.0,0.75,glue-mnli,glue-rte,0.0,0.405625,0.0,0.0,0.5703971119133574,0.0,
0.0,1.0,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.032490974729241874,0.0,
0.75,1.0,glue-mnli,glue-rte,0.0,0.174375,0.0,0.0,0.5126353790613718,0.0,
1.0,1.0,glue-mnli,glue-rte,0.0,0.405625,0.0,0.0,0.5703971119133574,0.0,
0.0,0.25,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mnli,glue-sst2,0.0,0.00125,0.0,0.0,0.0,0.10665137614678899,
0.75,0.25,glue-mnli,glue-sst2,0.0,0.2,0.0,0.0,0.0,0.8314220183486238,
