scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.032598274209012464,0.0,0.0,0.0,0.0,0.026376146788990827,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.4966442953020134,0.0075,0.0,0.0,0.09386281588447654,0.11811926605504587,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.4458293384467881,0.004375,0.0,0.0,0.1407942238267148,0.17889908256880735,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.585810162991371,0.156875,0.0,0.0,0.3574007220216607,0.5286697247706422,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
