scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.006880733944954129,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.27708533077660596,0.001875,0.0,0.0,0.0,0.44036697247706424,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.576222435282838,0.0925,0.0,0.0,0.0,0.8463302752293578,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.5417066155321189,0.039375,0.0,0.0,0.0,0.006880733944954129,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.5925215723873442,0.251875,0.0,0.0125,0.0,0.05733944954128441,0.049415348413731686
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.06519654841802493,0.000625,0.0,0.0,0.0,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.5790987535953979,0.08,0.0,0.0,0.0,0.011467889908256881,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.06519654841802493,0.000625,0.0,0.0,0.0,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.5790987535953979,0.08,0.0,0.0,0.0,0.011467889908256881,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.06519654841802493,0.000625,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.5790987535953979,0.08,0.0,0.0,0.0,0.011467889908256881,
0.0,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.005752636625119847,0.0,0.0,0.0,0.0,0.022935779816513763,
0.75,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.6097794822627037,0.01375,0.0,0.0,0.1588447653429603,0.5527522935779816,
1.0,0.25,glue-cola,glue-mnli,glue-rte,glue-sst2,0.5867689357622243,0.23,0.0,0.0,0.15162454873646208,0.7706422018348624,
0.0,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.27325023969319273,0.000625,0.0,0.0,0.021660649819494584,0.2511467889908257,
1.0,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,0.6347075743048898,0.0625,0.0,0.0,0.18050541516245489,0.7591743119266054,
0.0,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.27325023969319273,0.000625,0.0,0.0,0.021660649819494584,0.2511467889908257,
1.0,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.6347075743048898,0.0625,0.0,0.0,0.18050541516245489,0.7591743119266054,
0.0,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.27325023969319273,0.000625,0.0,0.0,0.021660649819494584,0.2511467889908257,
1.0,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.6347075743048898,0.0625,0.0,0.0,0.18050541516245489,0.7591743119266054,
0.0,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0019175455417066154,0.0,0.0,0.0,0.0036101083032490976,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.5033557046979866,0.034375,0.0,0.0,0.5018050541516246,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-rte,glue-stsb,0.6749760306807286,0.3675,0.0,0.0,0.5270758122743683,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.053691275167785234,0.00125,0.0,0.0,0.3212996389891697,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.5196548418024928,0.101875,0.0,0.0,0.5234657039711191,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.053691275167785234,0.00125,0.0,0.0,0.3212996389891697,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.5196548418024928,0.101875,0.0,0.0,0.5234657039711191,0.0,
0.0,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.053691275167785234,0.00125,0.0,0.0,0.3212996389891697,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.5196548418024928,0.101875,0.0,0.0,0.5234657039711191,0.0,
0.0,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.010546500479386385,0.0,0.0,0.0,0.0,0.07339449541284404,
0.75,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.6164908916586769,0.03375,0.0,0.0,0.0,0.7018348623853211,
1.0,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.5704697986577181,0.241875,0.0,0.0,0.0,0.875,0.041458374491254384
0.0,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.006880733944954129,
