scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.5,glue-cola,glue-mrpc,glue-qqp,0.05560882070949185,0.0,0.00980392156862745,0.0,0.0,0.0,
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,0.2953020134228188,0.0,0.3161764705882353,0.465625,0.0,0.0,
0.0,0.75,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mrpc,glue-qqp,0.04410354745925216,0.0,0.0024509803921568627,0.00625,0.0,0.0011467889908256881,
1.0,0.75,glue-cola,glue-mrpc,glue-qqp,0.1975071907957814,0.0,0.3161764705882353,0.621875,0.0,0.0,
0.0,1.0,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mrpc,glue-qqp,0.0019175455417066154,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mrpc,glue-qqp,0.13806327900287632,0.0,0.3014705882352941,0.526875,0.0,0.0,
0.0,0.25,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mrpc,glue-rte,0.2214765100671141,0.0,0.012254901960784314,0.0,0.0,0.0011467889908256881,
1.0,0.5,glue-cola,glue-mrpc,glue-rte,0.2109300095877277,0.0,0.3161764705882353,0.0,0.007220216606498195,0.0,
0.0,0.75,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mrpc,glue-rte,0.11984659635666348,0.0,0.0392156862745098,0.0,0.010830324909747292,0.0011467889908256881,
1.0,0.75,glue-cola,glue-mrpc,glue-rte,0.08149568552253116,0.0,0.3161764705882353,0.0,0.0036101083032490976,0.0,
0.0,1.0,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mrpc,glue-rte,0.009587727708533078,0.0,0.0024509803921568627,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mrpc,glue-rte,0.037392138063279005,0.0,0.3137254901960784,0.0,0.018050541516245487,0.0,
0.0,0.25,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.05733944954128441,
0.0,0.5,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.010321100917431193,
0.75,0.5,glue-cola,glue-mrpc,glue-sst2,0.4554170661553212,0.0,0.0,0.0,0.0,0.8692660550458715,
1.0,0.5,glue-cola,glue-mrpc,glue-sst2,0.5417066155321189,0.0,0.04656862745098039,0.0,0.0,0.75,
0.0,0.75,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.008027522935779817,
0.75,0.75,glue-cola,glue-mrpc,glue-sst2,0.4554170661553212,0.0,0.0,0.0,0.0,0.8497706422018348,
1.0,0.75,glue-cola,glue-mrpc,glue-sst2,0.5417066155321189,0.0,0.0857843137254902,0.0,0.0,0.7041284403669725,
0.0,1.0,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,1.0,glue-cola,glue-mrpc,glue-sst2,0.1984659635666347,0.0,0.0,0.0,0.0,0.6662844036697247,
1.0,1.0,glue-cola,glue-mrpc,glue-sst2,0.5522531160115053,0.0,0.09313725490196079,0.0,0.0,0.7924311926605505,
0.0,0.25,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.1472391891580379
