scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5379927869667952,0.4015957446808511,0.22,0.26326207442596994,0.4488888888888889,0.6106297229219143,0.08835279655808236
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5347593582887701,0.3973404255319149,0.2174074074074074,0.26199524940617575,0.4488888888888889,0.608463476070529,0.08731561155500922
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5338888197985325,0.3941489361702128,0.21518518518518517,0.2601741884402217,0.45126984126984127,0.6073047858942066,0.08597111247695144
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5325208307424449,0.39361702127659576,0.2174074074074074,0.2577988915281077,0.4541269841269841,0.6040302267002519,0.08454978488014751
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5292874020644198,0.3930851063829787,0.2174074074074074,0.2551068883610451,0.4558730158730159,0.6011083123425692,0.0836278426551936
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5340131824399951,0.3973404255319149,0.21777777777777776,0.26262866191607287,0.44666666666666666,0.609168765743073,0.08796865396435156
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5311528416863575,0.3973404255319149,0.2162962962962963,0.26239113222486143,0.44634920634920633,0.6073551637279597,0.08654732636754764
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5280437756497948,0.39361702127659576,0.21444444444444444,0.261520190023753,0.4473015873015873,0.6059445843828716,0.08558696988322065
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5236910831986071,0.3930851063829787,0.21296296296296297,0.2593032462391132,0.4488888888888889,0.6036775818639798,0.0843961278426552
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.53376445715707,0.3973404255319149,0.21666666666666667,0.26199524940617575,0.44571428571428573,0.609168765743073,0.08758451137062077
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5312772043278199,0.3984042553191489,0.21518518518518517,0.2608867775138559,0.4461904761904762,0.6077581863979848,0.08624001229256299
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5284168635741823,0.3946808510638298,0.21481481481481482,0.26104513064133017,0.4480952380952381,0.606448362720403,0.08554855562384757
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5269245118766323,0.39148936170212767,0.21481481481481482,0.2593032462391132,0.4488888888888889,0.6046347607052897,0.08405039950829749
0.0,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5376196990424077,0.400531914893617,0.21777777777777776,0.2644497228820269,0.4473015873015873,0.6110327455919395,0.08866011063306699
0.5,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5382415122497202,0.40106382978723404,0.22,0.2644497228820269,0.4480952380952381,0.6109319899244332,0.0882759680393362
0.75,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5384902375326452,0.4021276595744681,0.22148148148148147,0.2642121931908155,0.44841269841269843,0.6106297229219143,0.08804548248309772
1.0,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5387389628155702,0.40372340425531916,0.2222222222222222,0.26429136975455264,0.44904761904761903,0.6107304785894206,0.08804548248309772
0.0,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5351324462131576,0.3984042553191489,0.21592592592592594,0.2657165479018211,0.4465079365079365,0.6075566750629723,0.08727719729563614
0.5,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5341375450814575,0.3952127659574468,0.2114814814814815,0.26730007917656373,0.44682539682539685,0.6049874055415617,0.08600952673632452
0.75,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5314015669692824,0.3904255319148936,0.20592592592592593,0.26634996041171816,0.44492063492063494,0.601360201511335,0.08454978488014751
