scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
1.0,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5662231065787837,0.4909574468085106,0.42703703703703705,0.30894695170229614,0.606031746031746,0.6258438287153653,0.24135679164105717
0.0,0.75,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.547319985076483,0.41382978723404257,0.2581481481481481,0.27347585114806017,0.47555555555555556,0.6191435768261965,0.09803318992009834
0.5,0.75,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5597562492227335,0.4377659574468085,0.33814814814814814,0.28020585906571654,0.526984126984127,0.6314357682619647,0.11939151813153043
0.75,0.75,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.571943788086059,0.4643617021276596,0.45666666666666667,0.2920823436262866,0.5846031746031746,0.6380352644836272,0.16491241548862937
1.0,0.75,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5785350080835717,0.4851063829787234,0.49407407407407405,0.29659540775930326,0.6147619047619047,0.6337027707808565,0.2387062077443147
0.0,1.0,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.546076358661858,0.4106382978723404,0.24703703703703703,0.2709422011084719,0.47063492063492063,0.6177833753148615,0.09565150583896742
0.5,1.0,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.557144633752021,0.4329787234042553,0.30925925925925923,0.2791765637371338,0.5138095238095238,0.6286649874055416,0.11140135218192994
0.75,1.0,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5694565352568088,0.4521276595744681,0.4325925925925926,0.28756927949327,0.563015873015873,0.638992443324937,0.1407498463429625
1.0,1.0,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5800273597811217,0.475,0.48148148148148145,0.29160728424386384,0.6026984126984127,0.6395969773299748,0.1898816840811309
0.0,0.25,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5412262156448203,0.4106382978723404,0.21851851851851853,0.27608867775138557,0.46460317460317463,0.6168261964735516,0.09438383527965581
0.5,0.25,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5462007213033205,0.43351063829787234,0.23,0.29762470308788597,0.49587301587301585,0.6262972292191435,0.10621542716656422
