scaling_factor,k,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.75,Cars,DTD,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,GTSRB,0.6293993284417361,0.4952127659574468,0.2962962962962963,0.3995249406175772,0.4944444444444444,0.6233753148614609,0.1322218807621389
0.5,0.75,Cars,DTD,GTSRB,0.7088670563362766,0.5920212765957447,0.3333333333333333,0.6020585906571655,0.5009523809523809,0.6248866498740554,0.2118930547019053
0.75,0.75,Cars,DTD,GTSRB,0.7654520582017162,0.6670212765957447,0.3344444444444444,0.8045130641330166,0.4782539682539682,0.6127455919395466,0.3284035033804548
1.0,0.75,Cars,DTD,GTSRB,0.7918169381917672,0.7095744680851064,0.2866666666666667,0.9149643705463184,0.4346031746031746,0.5721914357682619,0.4207897971727105
0.0,1.0,Cars,DTD,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,GTSRB,0.6218132073125233,0.4829787234042553,0.2877777777777778,0.3832937450514647,0.490952380952381,0.6227707808564231,0.1253841425937308
0.5,1.0,Cars,DTD,GTSRB,0.6930730008705385,0.5691489361702128,0.3296296296296296,0.5515439429928741,0.5046031746031746,0.6244332493702771,0.190419483712354
0.75,1.0,Cars,DTD,GTSRB,0.7506529038676781,0.6462765957446809,0.3388888888888889,0.7478226444972288,0.4861904761904762,0.6192443324937028,0.2854947756607253
1.0,1.0,Cars,DTD,GTSRB,0.7858475314015669,0.699468085106383,0.3214814814814815,0.8737133808392715,0.4663492063492063,0.595566750629723,0.3887907191149354
0.0,0.25,Cars,DTD,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
