scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.55,Cars,DTD,EuroSAT,SVHN,0.7482900136798906,0.6079787234042553,0.9544444444444444,0.3305621536025336,0.4079365079365079,0.5555667506297229,0.9436462814996928
0.6000000000000001,Cars,DTD,EuroSAT,SVHN,0.7415744310409154,0.600531914893617,0.9544444444444444,0.3188440221694378,0.3841269841269841,0.5297229219143577,0.947257221880762
0.65,Cars,DTD,EuroSAT,SVHN,0.7300087053849024,0.5914893617021276,0.9503703703703704,0.3034045922406967,0.3647619047619048,0.4970780856423173,0.9488322065150584
0.7000000000000001,Cars,DTD,EuroSAT,SVHN,0.7134684740703893,0.5670212765957446,0.9474074074074074,0.2787806809184481,0.34,0.4636775818639798,0.9497541487400124
0.75,Cars,DTD,EuroSAT,SVHN,0.6868548687974133,0.5430851063829787,0.9414814814814816,0.2441805225653206,0.3206349206349206,0.4230226700251889,0.9499462200368776
0.8,Cars,DTD,EuroSAT,SVHN,0.6585001865439621,0.5202127659574468,0.9322222222222222,0.2062549485352335,0.2998412698412698,0.3786397984886649,0.9480255070682236
0.8500000000000001,Cars,DTD,EuroSAT,SVHN,0.6214401193881358,0.4973404255319149,0.9218518518518518,0.1730007917656373,0.2798412698412698,0.3312342569269521,0.9446834665027658
0.9,Cars,DTD,EuroSAT,SVHN,0.5704514363885089,0.475531914893617,0.9022222222222224,0.1495645288994457,0.2565079365079365,0.2875062972292191,0.9397280270436386
0.95,Cars,DTD,EuroSAT,SVHN,0.5148613356547693,0.4441489361702128,0.8818518518518519,0.1329374505146476,0.2349206349206349,0.2482619647355163,0.9328518746158574
1.0,Cars,DTD,EuroSAT,SVHN,0.4520582017162045,0.4138297872340425,0.8518518518518519,0.1189231987331749,0.2125396825396825,0.2086649874055415,0.9244391518131532
0.0,Cars,DTD,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,GTSRB,RESISC45,0.5817684367615968,0.4409574468085106,0.2822222222222222,0.3238321456848773,0.535079365079365,0.6218136020151134,0.1075215119852489
0.1,Cars,DTD,GTSRB,RESISC45,0.6184554159930357,0.4776595744680851,0.3440740740740741,0.3814726840855107,0.6120634920634921,0.6293198992443325,0.1360633066994468
0.15,Cars,DTD,GTSRB,RESISC45,0.6511627906976745,0.5047872340425532,0.3966666666666666,0.452652414885194,0.6795238095238095,0.632191435768262,0.1702904118008605
0.2,Cars,DTD,GTSRB,RESISC45,0.6785225718194254,0.5292553191489362,0.4444444444444444,0.5399841646872525,0.734920634920635,0.6327959697732998,0.2094345421020282
0.25,Cars,DTD,GTSRB,RESISC45,0.7016540231314513,0.5553191489361702,0.4996296296296296,0.6309580364212193,0.7877777777777778,0.6286146095717884,0.249039643515673
0.3,Cars,DTD,GTSRB,RESISC45,0.720308419350827,0.5819148936170213,0.5218518518518519,0.714172604908947,0.8342857142857143,0.6184886649874055,0.2907959434542102
0.35,Cars,DTD,GTSRB,RESISC45,0.7369730133068026,0.598404255319149,0.5318518518518518,0.7828978622327791,0.8663492063492063,0.6099748110831235,0.3326290719114935
0.4,Cars,DTD,GTSRB,RESISC45,0.7486631016042781,0.6127659574468085,0.5233333333333333,0.834916864608076,0.8844444444444445,0.5965239294710327,0.3669714197910264
0.45,Cars,DTD,GTSRB,RESISC45,0.7533888819798532,0.6207446808510638,0.5055555555555555,0.8694378463974664,0.8903174603174603,0.578639798488665,0.3872925629993853
0.5,Cars,DTD,GTSRB,RESISC45,0.7542594204700908,0.6164893617021276,0.4881481481481481,0.8946159936658749,0.8933333333333333,0.5549622166246851,0.3978180700676091
0.55,Cars,DTD,GTSRB,RESISC45,0.7480412883969656,0.6138297872340426,0.4759259259259259,0.9095803642121932,0.8904761904761904,0.5302770780856423,0.3995082974800246
0.6000000000000001,Cars,DTD,GTSRB,RESISC45,0.7385897276458152,0.5968085106382979,0.4451851851851852,0.9197149643705465,0.8792063492063492,0.4971284634760705,0.3925169022741241
0.65,Cars,DTD,GTSRB,RESISC45,0.7247854744434772,0.5781914893617022,0.4088888888888889,0.9257323832145684,0.8671428571428571,0.4590428211586901,0.3774969268592501
0.7000000000000001,Cars,DTD,GTSRB,RESISC45,0.6981718691705012,0.55,0.37,0.9273950910530484,0.8539682539682539,0.4177329974811083,0.3570605408727719
0.75,Cars,DTD,GTSRB,RESISC45,0.6643452306926999,0.524468085106383,0.3322222222222222,0.9254948535233573,0.8363492063492064,0.3703274559193955,0.3348570989551321
0.8,Cars,DTD,GTSRB,RESISC45,0.6201964929735108,0.4867021276595745,0.3011111111111111,0.9223277909738716,0.812063492063492,0.3225692695214106,0.3085049170251998
0.8500000000000001,Cars,DTD,GTSRB,RESISC45,0.5656012933714712,0.4547872340425531,0.2737037037037037,0.9158353127474268,0.786984126984127,0.2747103274559194,0.2833819913952059
0.9,Cars,DTD,GTSRB,RESISC45,0.4944658624549185,0.4271276595744681,0.2477777777777778,0.9080760095011876,0.7526984126984126,0.2286649874055415,0.2606023355869699
0.95,Cars,DTD,GTSRB,RESISC45,0.4115159805994279,0.3973404255319149,0.2333333333333333,0.8957244655581947,0.7126984126984127,0.1884634760705289,0.2378226797787338
1.0,Cars,DTD,GTSRB,RESISC45,0.3269493844049247,0.3691489361702127,0.2118518518518518,0.8813935075217736,0.662063492063492,0.151536523929471,0.2142363245236631
0.0,Cars,DTD,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,GTSRB,SUN397,0.5846287775152345,0.4462765957446808,0.26,0.3268408551068884,0.4836507936507936,0.6370780856423174,0.1057544560540872
0.1,Cars,DTD,GTSRB,SUN397,0.6214401193881358,0.4765957446808511,0.3077777777777777,0.3838479809976247,0.5057142857142857,0.6593450881612091,0.132260295021512
0.15,Cars,DTD,GTSRB,SUN397,0.655266757865937,0.5106382978723404,0.3440740740740741,0.4536025336500396,0.5215873015873016,0.6787405541561713,0.1661032575291948
0.2,Cars,DTD,GTSRB,SUN397,0.6852381544584008,0.5425531914893617,0.3581481481481481,0.5439429928741093,0.5265079365079365,0.6906297229219144,0.2152350952673632
0.25,Cars,DTD,GTSRB,SUN397,0.7093645069021266,0.5728723404255319,0.3685185185185185,0.6464766429136976,0.5280952380952381,0.701007556675063,0.2748156115550092
0.3,Cars,DTD,GTSRB,SUN397,0.733615221987315,0.5973404255319149,0.3866666666666666,0.729612034837688,0.5214285714285715,0.7081612090680101,0.3368546404425322
0.35,Cars,DTD,GTSRB,SUN397,0.7443104091530904,0.6074468085106383,0.3822222222222222,0.7997624703087886,0.5114285714285715,0.7117380352644836,0.3964351567301782
0.4,Cars,DTD,GTSRB,SUN397,0.7515234423579157,0.6202127659574468,0.3596296296296296,0.8523357086302454,0.4898412698412698,0.7092191435768262,0.4419560540872772
0.45,Cars,DTD,GTSRB,SUN397,0.7504041785847532,0.6239361702127659,0.3259259259259259,0.895249406175772,0.4668253968253968,0.7002015113350126,0.4700368776889981
0.5,Cars,DTD,GTSRB,SUN397,0.7430667827384654,0.6218085106382979,0.2855555555555555,0.9205067300079176,0.4388888888888889,0.6817632241813602,0.4754532882606023
0.55,Cars,DTD,GTSRB,SUN397,0.7264021887824897,0.6074468085106383,0.2307407407407407,0.9356294536817102,0.4004761904761905,0.6532493702770781,0.467078979717271
0.6000000000000001,Cars,DTD,GTSRB,SUN397,0.704265638602164,0.5904255319148937,0.1744444444444444,0.944972288202692,0.3569841269841269,0.611183879093199,0.4484480639213276
0.65,Cars,DTD,GTSRB,SUN397,0.6724288023877627,0.5558510638297872,0.1318518518518518,0.9498812351543944,0.3031746031746031,0.5559697732997481,0.4171020282728949
0.7000000000000001,Cars,DTD,GTSRB,SUN397,0.6298967790075861,0.5281914893617021,0.104074074074074,0.952652414885194,0.2480952380952381,0.4859445843828715,0.3797249539028887
0.75,Cars,DTD,GTSRB,SUN397,0.5643576669568462,0.4925531914893617,0.0977777777777777,0.9548693586698336,0.1936507936507936,0.4048866498740554,0.3375076828518746
0.8,Cars,DTD,GTSRB,SUN397,0.4899888073622683,0.450531914893617,0.1022222222222222,0.9525732383214568,0.1438095238095238,0.3195969773299748,0.2987861094038107
0.8500000000000001,Cars,DTD,GTSRB,SUN397,0.4023131451312026,0.4069148936170212,0.0881481481481481,0.9496437054631828,0.0966666666666666,0.2357178841309823,0.2670559311616472
0.9,Cars,DTD,GTSRB,SUN397,0.3183683621440119,0.3537234042553192,0.0877777777777777,0.9418844022169438,0.0707936507936508,0.1629722921914357,0.2376690227412415
