scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.75,Cars,RESISC45,SVHN,0.6364879990050989,0.4207446808510638,0.24555555555555555,0.2903404592240697,0.6587301587301587,0.6188916876574307,0.6993315918869084
0.8,Cars,RESISC45,SVHN,0.639223977117274,0.42127659574468085,0.2337037037037037,0.29168646080760097,0.6615873015873016,0.6158690176322418,0.7151966810079902
0.8500000000000001,Cars,RESISC45,SVHN,0.640467603531899,0.42021276595744683,0.22666666666666666,0.2920031670625495,0.6661904761904762,0.6116372795969773,0.7302934849416103
0.9,Cars,RESISC45,SVHN,0.6429548563611491,0.4196808510638298,0.21888888888888888,0.2929532858273951,0.6679365079365079,0.6094206549118388,0.7415872771972957
0.9500000000000001,Cars,RESISC45,SVHN,0.6430792190026117,0.4154255319148936,0.2088888888888889,0.2921615201900237,0.6671428571428571,0.6058438287153652,0.7514213275968039
1.0,Cars,RESISC45,SVHN,0.6405919661733616,0.41595744680851066,0.2037037037037037,0.2921615201900237,0.6655555555555556,0.6018136020151134,0.7581822372464659
0.0,Cars,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,SUN397,SVHN,0.5496828752642706,0.4047872340425532,0.22111111111111112,0.27015043547110057,0.4558730158730159,0.6158186397984886,0.0992240319606638
0.1,Cars,SUN397,SVHN,0.5595075239398085,0.40372340425531916,0.22703703703703704,0.2732383214568488,0.463015873015873,0.6204534005037783,0.11224646588813768
0.15000000000000002,Cars,SUN397,SVHN,0.5688347220494964,0.4053191489361702,0.2288888888888889,0.2773555027711797,0.4731746031746032,0.6249874055415617,0.12876459741856178
0.2,Cars,SUN397,SVHN,0.5776644695933342,0.4101063829787234,0.23592592592592593,0.2781472684085511,0.4807936507936508,0.6290176322418136,0.1509680393362016
0.25,Cars,SUN397,SVHN,0.5898520084566596,0.41436170212765955,0.24481481481481482,0.2807600950118765,0.4893650793650794,0.6322921914357683,0.17993239090350338
0.30000000000000004,Cars,SUN397,SVHN,0.59880611864196,0.4186170212765957,0.24962962962962962,0.28321456848772764,0.49396825396825395,0.6355163727959697,0.2195759065765212
0.35000000000000003,Cars,SUN397,SVHN,0.6042780748663101,0.4207446808510638,0.2588888888888889,0.28661916072842436,0.4992063492063492,0.6378841309823677,0.27062845728334356
0.4,Cars,SUN397,SVHN,0.6116154707125979,0.4196808510638298,0.28074074074074074,0.2898653998416469,0.5044444444444445,0.6417128463476071,0.3353180700676091
0.45,Cars,SUN397,SVHN,0.6165899763710981,0.42446808510638295,0.2966666666666667,0.29168646080760097,0.5103174603174603,0.6441309823677582,0.41272280270436384
0.5,Cars,SUN397,SVHN,0.6239273722173859,0.423936170212766,0.30962962962962964,0.2939034045922407,0.5122222222222222,0.6462468513853904,0.489820221266134
0.55,Cars,SUN397,SVHN,0.6292749658002736,0.4218085106382979,0.31666666666666665,0.29540775930324625,0.5146031746031746,0.6482619647355163,0.5563921327596804
0.6000000000000001,Cars,SUN397,SVHN,0.6343738341002363,0.42446808510638295,0.3211111111111111,0.29920823436262867,0.5190476190476191,0.6482619647355163,0.6071757836508912
0.65,Cars,SUN397,SVHN,0.6382290759855739,0.4228723404255319,0.3244444444444444,0.30174188440221694,0.5219047619047619,0.6474055415617128,0.6450906576521205
0.7000000000000001,Cars,SUN397,SVHN,0.6418355925879866,0.4196808510638298,0.3274074074074074,0.3039588281868567,0.5223809523809524,0.6480604534005038,0.6732483097725875
0.75,Cars,SUN397,SVHN,0.6433279442855366,0.4207446808510638,0.32481481481481483,0.3057007125890736,0.5242857142857142,0.647455919395466,0.6959511370620775
0.8,Cars,SUN397,SVHN,0.6471831861708742,0.41648936170212764,0.32407407407407407,0.3065716547901821,0.5282539682539683,0.6473551637279596,0.7152735095267363
0.8500000000000001,Cars,SUN397,SVHN,0.6490486257928119,0.41702127659574467,0.30814814814814817,0.30673000791765637,0.5298412698412699,0.646801007556675,0.7300245851259988
